DateTime,AddedIPs,RemovedIPs
1557630995,1,7
1557632911,2,2
1557634821,3,4
1557636751,6,2
1557638660,3,3
1557640577,4,0
1557642767,0,6
1557644690,4,1
1557646825,4,9
1557648743,2,6
1557650690,3,3
1557652581,2,5
1557654502,3,3
1557656451,3,2
1557658376,2,5
1557660268,4,1
1557662177,3,4
1557664119,2,1
1557666050,4,1
1557667952,3,3
1557670134,2,1
1557672045,2,2
1557673948,3,6
1557675879,6,1
1557677813,9,2
1557679732,7,2
1557681626,2,3
1557683552,1,2
1557685470,5,1
1557687583,3,7
1557689571,1,4
1557691744,7,2
1557693617,5,2
1557695791,1,5
1557697701,2,4
1557699649,4,5
1557702946,3,5
1557704901,0,3
1557706833,2,6
1557708749,0,1
1557710660,1,2
1557712580,1,2
1557714746,1,1
1557716699,2,2
1557718582,3,3
1557720499,4,4
1557722436,1,6
1557724365,2,2
1557726256,3,3
1557728190,0,4
1557730118,4,4
1557732033,3,1
1557733937,2,2
1557735866,6,2
1557737768,2,3
1557739722,1,1
1557741657,3,3
1557743564,2,3
1557745510,3,2
1557747380,5,4
1557749301,6,2
1557751214,2,4
1557753153,2,5
1557755057,6,1
1557757001,6,3
1557758837,5,1
1557760833,5,4
1557762835,1,4
1557764666,1,12
1557766577,6,3
1557768508,5,1
1557770463,6,1
1557772346,2,6
1557774260,5,2
1557776178,8,0
1557778129,4,7
1557780013,11,4
1557781944,5,1
1557783755,7,2
1557785771,5,3
1557787699,2,2
1557789611,2,1
1557791530,4,0
1557793459,5,2
1557795383,3,0
1557797567,5,0
1557799544,6,4
1557801396,3,3
1557803330,0,1
1557805219,4,6
1557807134,2,4
1557809084,5,1
1557811126,3,1
1557813159,1,2
1557815052,3,3
1557816997,6,2
1557818890,1,2
1557820895,3,2
1557822737,3,5
1557824658,3,2
1557826831,6,4
1557828734,7,1
1557830685,4,3
1557832570,4,1
1557834772,3,5
1557836655,2,4
1557838610,1,2
1557840500,2,5
1557842444,4,5
1557844335,2,5
1557846313,4,4
1557848448,10,4
1557850342,8,5
1557852294,5,5
1557854180,2,5
1557856343,3,12
1557858262,1,1
1557860192,1,8
1557862092,0,12
1557864313,7,4
1557866206,2,9
1557868131,5,3
1557870024,3,6
1557871954,4,4
1557873884,4,2
1557875801,3,1
1557877728,4,2
1557879640,13,1
1557881569,14,3
1557883460,3,2
1557885373,6,3
1557887302,2,6
1557889249,6,1
1557891154,3,1
1557893092,5,4
1557894986,4,4
1557896935,3,2
1557898843,4,2
1557900778,8,3
1557902658,46,3
1557904605,2,3
1557906507,3,1
1557908442,3,5
1557910341,4,3
1557912269,3,5
1557914195,6,7
1557916120,2,3
1557918075,2,4
1557919942,4,2
1557921863,6,2
1557923785,3,2
1557925729,4,1
1557927617,21,3
1557929557,5,7
1557931464,2,2
1557933404,6,8
1557935340,5,14
1557937241,5,7
1557939154,6,6
1557941059,1,6
1557943005,3,1
1557944909,3,1
1557946861,3,4
1557948775,1,5
1557950737,2,5
1557952586,4,4
1557954527,3,1
1557956441,4,1
1557958352,2,4
1557960280,0,1
1557962204,3,3
1557964105,3,6
1557966017,1,9
1557967952,0,18
1557969996,4,2
1557972032,3,2
1557973944,2,4
1557975861,2,2
1557977783,5,4
1557979698,2,3
1557981641,3,4
1557983546,6,2
1557985458,1,2
1557987409,45,4
1557989307,2,46
1557991480,176,2
1557993397,4,1
1557995326,145,5
1557997246,4,3
1557999383,3,6
1558001568,3,4
1558003485,6,1
1558005376,5,1
1558007322,5,4
1558009283,4,2
1558011138,4,6
1558013057,2,2
1558015014,5,21
1558016933,3,3
1558019819,5,9
1558022963,4,8
1558024826,3,5
1558026736,6,2
1558028655,5,4
1558030586,4,4
1558032494,5,2
1558034412,2,2
1558036341,2,3
1558038256,8,5
1558040196,4,3
1558042107,2,1
1558044048,4,3
1558045952,4,0
1558047909,1,2
1558049773,3,1
1558051731,0,2
1558053614,3,0
1558057451,1,5
1558059375,6,3
1558061306,4,2
1558063209,2,1
1558065131,3,6
1558067063,7,4
1558068998,3,4
1558070898,8,0
1558072838,3,2
1558074737,3,4
1558076705,6,1
1558078570,3,4
1558080765,6,5
1558082665,5,3
1558084599,5,2
1558086494,3,7
1558088416,2,3
1558090370,3,5
1558092252,4,1
1558094172,5,4
1558096097,3,2
1558098043,4,2
1558099935,5,3
1558101819,7,2
1558103769,1,3
1558105699,4,4
1558107784,5,2
1558109786,6,3
1558111728,0,3
1558113861,3,7
1558115769,11,4
1558117692,2,3
1558119687,2,0
1558121536,7,0
1558123722,4,4
1558125610,0,5
1558127548,4,0
1558129450,3,4
1558131498,3,2
1558133834,3,6
1558135798,6,2
1558137889,3,3
1558139790,0,2
1558141721,7,1
1558143863,3,1
1558145789,3,5
1558148189,5,4
1558150099,4,2
1558152276,1,4
1558154421,4,5
1558156586,4,72
1558158524,9,8
1558160459,5,181
1558162546,6,5
1558164491,9,2
1558166451,5,5
1558168341,2,6
1558170299,9,3
1558172181,6,5
1558174114,5,2
1558176023,19,3
1558177951,3,3
1558179875,0,5
1558181791,5,7
1558183694,7,4
1558185618,1,3
1558187565,1,3
1558189456,3,3
1558191369,0,4
1558193302,5,147
1558195125,4,4
1558197138,4,7
1558199085,3,2
1558201104,6,6
1558202918,2,6
1558204827,6,5
1558206736,4,5
1558208678,7,4
1558210583,0,4
1558212750,7,1
1558214686,8,4
1558216578,4,1
1558218495,6,4
1558220462,5,5
1558222365,4,3
1558224292,3,4
1558226176,3,0
1558228128,3,4
1558230040,5,4
1558231944,5,4
1558233874,2,6
1558235785,4,5
1558237702,3,4
1558239612,2,5
1558241556,4,2
1558243465,1,6
1558245396,3,8
1558247299,5,3
1558249249,3,3
1558251183,0,9
1558253127,1,5
1558254989,1,7
1558257143,3,8
1558259060,5,4
1558261004,4,3
1558262912,1,19
1558264850,2,1
1558266750,1,0
1558268659,17,8
1558270600,3,4
1558272507,2,1
1558274469,5,2
1558276363,5,1
1558278286,1,2
1558280196,3,6
1558282118,6,4
1558284045,3,4
1558285945,4,3
1558287870,6,6
1558289800,3,3
1558291709,3,6
1558293623,4,6
1558295578,3,3
1558297458,3,0
1558299382,5,7
1558301321,4,9
1558303278,7,4
1558305188,3,5
1558307084,3,3
1558308975,2,3
1558311173,15,3
1558313079,2,4
1558314996,0,6
1558316908,1,6
1558318841,5,2
1558320749,1,1
1558322680,5,4
1558324586,2,3
1558326501,5,2
1558328462,4,5
1558330360,4,0
1558332290,4,4
1558334185,2,3
1558336119,1,5
1558338025,3,1
1558339939,2,1
1558341879,3,2
1558343800,8,2
1558345719,20,6
1558347622,2,4
1558349533,4,2
1558351456,5,2
1558353387,5,1
1558355325,1,20
1558357250,5,2
1558359189,4,4
1558361086,5,3
1558362991,2,5
1558364922,5,1
1558366821,4,5
1558368759,2,6
